"inbound","startpointname","endpointname","percentile_cont","avg","percentile_cont"
0,"A","B",109,137.8335254946727549,34
0,"B","C",277,533.5056792237442922,20
0,"C","D",123,139.8956430745814307,11
0,"D","E",107,110.2741419330289193,4
0,"E","F",95,108.6557096651445967,11
0,"F","G",91,115.1956621004566210,26
0,"G","H",137,187.6141780821917808,16
0,"H","I",115,222.2728234398782344,16
0,"I","J",59,107.5073630136986301,26
0,"J","K",88,114.2294197108066971,32
1,"B","A",111,122.0213984018264840,28
1,"C","B",236,260.3355422374429224,22
1,"D","C",117,173.5559550989345510,19
1,"E","D",121,274.6490677321156773,5
1,"F","E",95,101.6726560121765601,7
1,"G","F",86,90.6846803652968037,19
1,"H","G",136,154.3546879756468798,11
1,"I","H",111,135.0185654490106545,11
1,"J","I",59,77.1956697108066971,22
1,"K","J",80,121.8225513698630137,25
